Weight
0.100
0.150
0.200
0.250
0.300
0.350
0.400
0.450
0.500
0.600
0.700
0.800
0.900
1.000
1.250
1.500
1.750
2.000
2.250
2.500
2.750
3.000
3.250
3.500
3.750
4.000
4.250
4.500
4.750
5.000
5.500
6.000
6.500
7.000
7.500
8.000
8.500
9.000
9.500
10.000
