w,1,2,3,4,5,6,7,8,9
34.0,"8,422.06","12,852.13","15,410.57","14,990.52","16,649.19","15,389.76","21,894.99","27,652.43","15,418.94"
35.0,"8,669.77","13,230.14","15,863.83","15,431.42","17,138.88","15,842.40","22,538.96","28,465.73","15,872.43"
36.0,"8,917.47","13,608.14","16,317.08","15,872.31","17,628.56","16,295.04","23,182.93","29,279.04","16,325.93"
37.0,"9,165.18","13,986.14","16,770.33","16,313.21","18,118.24","16,747.68","23,826.90","30,092.35","16,779.43"
38.0,"9,412.89","14,364.15","17,223.58","16,754.11","18,607.92","17,200.32","24,470.88","30,905.65","17,232.93"
39.0,"9,660.60","14,742.15","17,676.84","17,195.01","19,097.61","17,652.96","25,114.85","31,718.96","17,686.43"
40.0,"9,908.30","15,120.16","18,130.09","17,635.90","19,587.29","18,105.60","25,758.82","32,532.27","18,139.92"
41.0,"10,156.01","15,498.16","18,583.34","18,076.80","20,076.97","18,558.24","26,402.79","33,345.57","18,593.42"
42.0,"10,403.72","15,876.16","19,036.59","18,517.70","20,566.65","19,010.88","27,046.76","34,158.88","19,046.92"
43.0,"10,651.43","16,254.17","19,489.84","18,958.60","21,056.33","19,463.52","27,690.73","34,972.19","19,500.42"
44.0,"10,899.13","16,632.17","19,943.10","19,399.49","21,546.02","19,916.16","28,334.70","35,785.49","19,953.92"
45.0,"11,152.26","15,518.79","18,498.38","18,296.87","19,020.22","19,278.34","28,062.72","34,025.39","18,438.34"
46.0,"11,400.09","15,863.65","18,909.45","18,703.46","19,442.89","19,706.75","28,686.34","34,781.51","18,848.08"
47.0,"11,647.92","16,208.51","19,320.53","19,110.06","19,865.56","20,135.15","29,309.95","35,537.63","19,257.82"
48.0,"11,895.74","16,553.38","19,731.60","19,516.66","20,288.23","20,563.56","29,933.57","36,293.75","19,667.56"
49.0,"12,143.57","16,898.24","20,142.68","19,923.25","20,710.90","20,991.97","30,557.18","37,049.87","20,077.30"
50.0,"12,391.40","17,243.10","20,553.75","20,329.85","21,133.58","21,420.38","31,180.80","37,805.99","20,487.04"
51.0,"12,639.23","17,587.96","20,964.83","20,736.45","21,556.25","21,848.78","31,804.42","38,562.10","20,896.78"
52.0,"12,887.06","17,932.82","21,375.90","21,143.04","21,978.92","22,277.19","32,428.03","39,318.22","21,306.52"
53.0,"13,134.88","18,277.69","21,786.98","21,549.64","22,401.59","22,705.60","33,051.65","40,074.34","21,716.26"
54.0,"13,382.71","18,622.55","22,198.05","21,956.24","22,824.26","23,134.01","33,675.26","40,830.46","22,126.00"
55.0,"13,630.54","18,967.41","22,609.13","22,362.84","23,246.93","23,562.41","34,298.88","41,586.58","22,535.74"
56.0,"13,878.37","19,312.27","23,020.20","22,769.43","23,669.60","23,990.82","34,922.50","42,342.70","22,945.48"
57.0,"14,126.20","19,657.13","23,431.28","23,176.03","24,092.28","24,419.23","35,546.11","43,098.82","23,355.23"
58.0,"14,374.02","20,002.00","23,842.35","23,582.63","24,514.95","24,847.64","36,169.73","43,854.94","23,764.97"
59.0,"14,621.85","20,346.86","24,253.43","23,989.22","24,937.62","25,276.04","36,793.34","44,611.06","24,174.71"
60.0,"14,869.68","20,691.72","24,664.50","24,395.82","25,360.29","25,704.45","37,416.96","45,367.18","24,584.45"
61.0,"15,117.51","21,036.58","25,075.58","24,802.42","25,782.96","26,132.86","38,040.58","46,123.30","24,994.19"
