w,1,2,3,4,5,6,7,8,9,
44.0,10899.13,16632.17,19943.1,19399.49,21546.02,19916.16,28334.7,35785.49,19953.92,
45.0,11152.26,15518.79,18498.38,18296.87,19020.22,19278.34,28062.72,34025.39,18438.34,
46.0,11400.09,15863.65,18909.45,18703.46,19442.89,19706.75,28686.34,34781.51,18848.08,
47.0,11647.92,16208.51,19320.53,19110.06,19865.56,20135.15,29309.95,35537.63,19257.82,
48.0,11895.74,16553.38,19731.6,19516.66,20288.23,20563.56,29933.57,36293.75,19667.56,
49.0,12143.57,16898.24,20142.68,19923.25,20710.9,20991.97,30557.18,37049.87,20077.3,
50.0,12391.4,17243.1,20553.75,20329.85,21133.58,21420.38,31180.8,37805.99,20487.04,
51.0,12639.23,17587.96,20964.83,20736.45,21556.25,21848.78,31804.42,38562.1,20896.78,
52.0,12887.06,17932.82,21375.9,21143.04,21978.92,22277.19,32428.03,39318.22,21306.52,
53.0,13134.88,18277.69,21786.98,21549.64,22401.59,22705.6,33051.65,40074.34,21716.26,
54.0,13382.71,18622.55,22198.05,21956.24,22824.26,23134.01,33675.26,40830.46,22126.0,
55.0,13630.54,18967.41,22609.13,22362.84,23246.93,23562.41,34298.88,41586.58,22535.74,
56.0,13878.37,19312.27,23020.2,22769.43,23669.6,23990.82,34922.5,42342.7,22945.48,
57.0,14126.2,19657.13,23431.28,23176.03,24092.28,24419.23,35546.11,43098.82,23355.23,
58.0,14374.02,20002.0,23842.35,23582.63,24514.95,24847.64,36169.73,43854.94,23764.97,
59.0,14621.85,20346.86,24253.43,23989.22,24937.62,25276.04,36793.34,44611.06,24174.71,
60.0,14869.68,20691.72,24664.5,24395.82,25360.29,25704.45,37416.96,45367.18,24584.45,
61.0,15117.51,21036.58,25075.58,24802.42,25782.96,26132.86,38040.58,46123.3,24994.19,
62.0,15365.34,21381.44,25486.65,25209.01,26205.63,26561.27,38664.19,46879.42,25403.93,
63.0,15613.16,21726.31,25897.73,25615.61,26628.3,26989.67,39287.81,47635.54,25813.67,
64.0,15860.99,22071.17,26308.8,26022.21,27050.98,27418.08,39911.42,48391.66,26223.41,
65.0,16108.82,22416.03,26719.88,26428.81,27473.65,27846.49,40535.04,49147.78,26633.15,
66.0,16356.65,22760.89,27130.95,26835.4,27896.32,28274.9,41158.66,49903.9,27042.89,
67.0,16604.48,23105.75,27542.03,27242.0,28318.99,28703.3,41782.27,50660.02,27452.63,
68.0,16852.3,23450.62,27953.1,27648.6,28741.66,29131.71,42405.89,51416.14,27862.37,
69.0,17100.13,23795.48,28364.18,28055.19,29164.33,29560.12,43029.5,52172.26,28272.12,
70.0,17347.96,24140.34,28775.25,28461.79,29587.01,29988.53,43653.12,52928.38,28681.86,
71.0,247.83,344.86,411.08,406.6,422.67,428.41,623.62,756.12,409.74,
100.0,226.65,303.11,405.06,396.18,411.66,423.17,523.02,645.43,404.37,
101.0,226.65,303.11,405.06,396.18,411.66,423.17,523.02,645.43,404.37,
102.0,226.65,303.11,405.06,396.18,411.66,423.17,523.02,645.43,404.37,
103.0,226.65,303.11,405.06,396.18,411.66,423.17,523.02,645.43,404.37,
