w,1,2,3,4,5,6,7,8,9
34.0,"7,957.10","12,102.56","14,543.26","14,138.78","15,690.14","14,519.90","20,682.66","26,068.27","14,528.12"
35.0,"8,191.13","12,458.51","14,971.00","14,554.63","16,151.61","14,946.96","21,290.98","26,834.98","14,955.42"
36.0,"8,425.17","12,814.47","15,398.74","14,970.48","16,613.09","15,374.02","21,899.29","27,601.69","15,382.72"
37.0,"8,659.20","13,170.43","15,826.49","15,386.32","17,074.56","15,801.07","22,507.60","28,368.41","15,810.01"
38.0,"8,893.23","13,526.39","16,254.23","15,802.17","17,536.04","16,228.13","23,115.92","29,135.12","16,237.31"
39.0,"9,127.26","13,882.34","16,681.97","16,218.02","17,997.51","16,655.18","23,724.23","29,901.83","16,664.61"
40.0,"9,361.30","14,238.30","17,109.72","16,633.86","18,458.99","17,082.24","24,332.54","30,668.55","17,091.91"
41.0,"9,595.33","14,594.26","17,537.46","17,049.71","18,920.46","17,509.30","24,940.86","31,435.26","17,519.21"
42.0,"9,829.36","14,950.22","17,965.20","17,465.56","19,381.94","17,936.35","25,549.17","32,201.98","17,946.50"
43.0,"10,063.39","15,306.17","18,392.94","17,881.40","19,843.41","18,363.41","26,157.48","32,968.69","18,373.80"
44.0,"10,297.43","15,662.13","18,820.69","18,297.25","20,304.89","18,790.46","26,765.80","33,735.40","18,801.10"
45.0,"10,501.16","14,653.12","17,396.69","17,290.97","17,923.21","18,213.59","26,510.40","32,058.18","17,393.04"
46.0,"10,734.51","14,978.74","17,783.29","17,675.21","18,321.50","18,618.34","27,099.52","32,770.58","17,779.55"
47.0,"10,967.87","15,304.37","18,169.88","18,059.46","18,719.79","19,023.09","27,688.64","33,482.99","18,166.06"
48.0,"11,201.23","15,629.99","18,556.47","18,443.70","19,118.09","19,427.83","28,277.76","34,195.39","18,552.58"
49.0,"11,434.59","15,955.62","18,943.07","18,827.95","19,516.38","19,832.58","28,866.88","34,907.80","18,939.09"
50.0,"11,667.95","16,281.24","19,329.66","19,212.19","19,914.68","20,237.33","29,456.00","35,620.20","19,325.60"
51.0,"11,901.31","16,606.86","19,716.25","19,596.43","20,312.97","20,642.07","30,045.12","36,332.60","19,712.11"
52.0,"12,134.67","16,932.49","20,102.85","19,980.68","20,711.26","21,046.82","30,634.24","37,045.01","20,098.62"
53.0,"12,368.03","17,258.11","20,489.44","20,364.92","21,109.56","21,451.56","31,223.36","37,757.41","20,485.14"
54.0,"12,601.39","17,583.74","20,876.03","20,749.17","21,507.85","21,856.31","31,812.48","38,469.82","20,871.65"
55.0,"12,834.75","17,909.36","21,262.63","21,133.41","21,906.14","22,261.06","32,401.60","39,182.22","21,258.16"
56.0,"13,068.10","18,234.99","21,649.22","21,517.65","22,304.44","22,665.80","32,990.72","39,894.62","21,644.67"
57.0,"13,301.46","18,560.61","22,035.81","21,901.90","22,702.73","23,070.55","33,579.84","40,607.03","22,031.18"
58.0,"13,534.82","18,886.24","22,422.41","22,286.14","23,101.02","23,475.30","34,168.96","41,319.43","22,417.70"
59.0,"13,768.18","19,211.86","22,809.00","22,670.38","23,499.32","23,880.04","34,758.08","42,031.84","22,804.21"
60.0,"14,001.54","19,537.49","23,195.59","23,054.63","23,897.61","24,284.79","35,347.20","42,744.24","23,190.72"
61.0,"14,234.90","19,863.11","23,582.19","23,438.87","24,295.90","24,689.54","35,936.32","43,456.64","23,577.23"
62.0,"14,468.26","20,188.74","23,968.78","23,823.12","24,694.20","25,094.28","36,525.44","44,169.05","23,963.74"
63.0,"14,701.62","20,514.36","24,355.37","24,207.36","25,092.49","25,499.03","37,114.56","44,881.45","24,350.26"
64.0,"14,934.98","20,839.99","24,741.96","24,591.60","25,490.78","25,903.78","37,703.68","45,593.86","24,736.77"
65.0,"15,168.34","21,165.61","25,128.56","24,975.85","25,889.08","26,308.52","38,292.80","46,306.26","25,123.28"
66.0,"15,401.69","21,491.24","25,515.15","25,360.09","26,287.37","26,713.27","38,881.92","47,018.66","25,509.79"
67.0,"15,635.05","21,816.86","25,901.74","25,744.33","26,685.66","27,118.02","39,471.04","47,731.07","25,896.30"
68.0,"15,868.41","22,142.49","26,288.34","26,128.58","27,083.96","27,522.76","40,060.16","48,443.47","26,282.82"
69.0,"16,101.77","22,468.11","26,674.93","26,512.82","27,482.25","27,927.51","40,649.28","49,155.88","26,669.33"
70.0,"16,335.13","22,793.74","27,061.52","26,897.07","27,880.55","28,332.26","41,238.40","49,868.28","27,055.84"
71-99 (per kg),233.36,325.62,386.59,384.24,398.29,404.75,589.12,712.40,386.51
100-299 (per kg),212.71,280.83,372.77,363.42,381.42,378.78,482.09,591.17,372.26
300-499 (per kg),212.71,280.83,372.77,363.42,381.42,378.78,482.09,591.17,372.26
500-999 (per kg),212.71,280.83,372.77,363.42,381.42,378.78,482.09,591.17,372.26
1000 + (per kg),212.71,280.83,372.77,363.42,381.42,378.78,482.09,591.17,372.26
